Team Name,Goalspg,Shotspg,yellowcardpg,redcardpg,Posseion%,PassAcc,AerialsWonpg,Shotedpg,Tacklespg,Interceptionpg,Foulspg,Offsidepg,ShotsOTpg,Dribblespg,Fouledpg,Rank
Stoke,1.078947368,11.2,1.842105263,0.0526315789,47.2,75.3,21.3,14.2,17.5,13.1,11.4,2.2,3.6,9.6,11.4,13
Crystal Palace,1.315789474,11.6,2.026315789,0,46.7,73.4,22,13.6,18.4,14.5,12.4,1.4,3.6,10.3,12.2,14
Middlesbrough,0.710526316,9.2,2.026315789,0.0263157895,47.9,77.3,20.3,14.5,19.1,14.4,12.7,1.3,2.6,10.5,10.3,19
Bournemouth,1.447368421,11.9,1.368421053,0.0789473684,51.3,81.3,14.4,14.5,15.9,12.1,9.7,1.4,4.2,11.3,12.6,9
Burnley,1.026315789,10.3,1.710526316,0.0526315789,42.7,67.8,24,17.7,16.7,14.1,11.3,2.7,3.2,4.7,10.7,16
Leicester,1.263157895,11.4,1.894736842,0.0263157895,43.7,70.1,20.2,14.6,17.8,14.1,11.9,1.7,3.8,8,8.6,12
West Bromwich Albion,1.131578947,10.5,2.105263158,0,40.7,70.4,17.7,13.6,15.9,14.1,11.8,1.5,3.2,8.1,8.9,10
Swansea,1.184210526,10.7,1.473684211,0,48.3,78.9,17.8,13.7,16.7,12,10.6,1.3,3.8,8.3,11,15
Watford,1.052631579,11.1,2.210526316,0.131578947,47,74,19.1,14.2,16.2,13.5,13.6,1.6,3.8,8.9,10.7,17
Sunderland,0.763157895,10.2,2.052631579,0.105263158,42.8,72.6,16.2,17.8,16.6,14.4,11.5,2.1,3.1,8.4,10.2,20
Hull,0.973684211,10.4,1.763157895,0.131578947,46.7,77.4,15.5,16.7,16.6,14.9,10.6,1.9,3.3,6.9,10,18
Arsenal,1.736842105,15.1,1.052631579,0.105263158,56.9,84.2,15.2,11.8,18.6,19.4,9.2,2.3,5.6,13,11.4,2
Leicester,1.789473684,13.7,1.263157895,0.0789473684,44.7,70.5,18.8,13.6,22.9,21.6,10.7,1.3,4.7,11.3,9.3,1
Tottenham,1.868421053,17.3,1.894736842,0,55.3,80.5,14.3,11.1,21.1,17,11.9,1.9,6.6,9.5,10.2,3
Manchester City,1.868421053,16.2,1.605263158,0,55.2,83.1,15.7,8.9,19.2,16.6,10.8,1.7,5.5,12,10.1,4
West Ham,1.763157895,14.7,1.526315789,0.131578947,49.1,77.6,17.7,13.7,18.7,17.5,10.1,2.2,4.9,10.4,11.8,7
Southampton,1.5,13.7,1.5,0.157894737,49.3,77.7,19.3,12.2,18.8,18.6,11,2.6,4.4,7.1,9.6,6
Liverpool,1.657894737,16.6,1.605263158,0.0789473684,55,80.2,16.5,10.5,22.9,14.5,11.1,2.4,5.3,10.8,9.9,8
Everton,1.526315789,12.9,1.157894737,0.131578947,51.5,81.4,12.9,14.6,19.2,13.4,8.3,1.4,4.6,11.7,10.8,11
Chelsea,1.526315789,13.8,1.526315789,0.131578947,54.4,82.5,14.1,12.7,20.8,13.6,10.6,2.4,4.6,12.3,12.6,10
Manchester United,1.236842105,11.3,1.710526316,0.0263157895,55.8,82.3,13.1,10.8,20,15.6,12.4,2,3.8,9.8,9.4,5
Watford,1.052631579,11.7,1.921052632,0.0789473684,46.3,72.6,17.4,13.2,20.9,20.2,12.1,1.4,3.7,8.7,10.2,13
Sunderland,1.263157895,11.6,1.684210526,0.0526315789,43.3,71,17.3,15,20.2,14.9,10.6,2.3,3.7,8,10.1,17
Crystal Palace,1.052631579,12.3,1.578947368,0.0526315789,46.8,74.4,17.8,14.9,17.1,18.4,12.4,2.1,4,10.3,11.3,15
Swansea,1.131578947,11.6,1.578947368,0.0263157895,52,80.9,13.7,13.7,16.8,17.9,10.3,2.2,3.6,7.9,11.9,12
Stoke,1.078947368,11,1.342105263,0.105263158,50,79.1,16.4,14.1,18.7,15.2,11,2.7,3.4,10.6,10.1,9
Newcastle United,1.157894737,10.4,1.578947368,0.131578947,47.4,76.6,13.9,14.5,20.8,16.9,11,1.6,4,9.7,9.5,18
West Bromwich Albion,0.842105263,10.2,1.710526316,0.0789473684,42.3,70,19.1,14.4,16.9,19,10.3,1.8,2.8,7.6,10.3,14
Bournemouth,1.184210526,12.2,1.394736842,0.0263157895,51,79.8,15.3,11.6,18.6,16.8,9.5,1.7,3.7,10.9,10.4,16
Aston Villa,0.710526316,10,1.973684211,0.0789473684,47.3,77.8,19.1,13.2,19.2,20.2,11.3,1.1,2.9,11.1,9.6,20
Norwich,1.026315789,11,1.605263158,0.0789473684,46.5,73.6,17.4,12.9,16,12.4,11,2.4,3.4,8.4,8.1,19
Arsenal,1.842105263,16.1,1.789473684,0.0526315789,55.7,83.8,19.8,10.7,19.4,20.2,9.9,1.7,6,15.8,11,3
Manchester City,2.210526316,17.6,2.026315789,0.0526315789,57,84.6,15.9,10.2,19.8,15,11.7,2.1,6,11.4,7.8,2
Chelsea,1.894736842,14.8,1.921052632,0.105263158,54.1,83.2,18.6,10.9,20,9.7,10.1,2,5.5,12.9,11.4,1
Manchester United,1.605263158,13.5,1.684210526,0.131578947,58.8,85.1,15.8,10.1,19.4,17.9,11.9,2.3,4.7,9.8,10.4,4
Southampton,1.289473684,13.4,1.5,0.0789473684,51.9,79.7,16.9,10.1,21.4,16.5,12.3,2.4,4.4,7,10.4,7
Liverpool,1.342105263,15.5,1.736842105,0.0789473684,54.3,82.8,14.9,10.9,21,11.6,10.1,2,5.1,11.5,12.3,6
Tottenham,1.526315789,13.9,2.078947368,0.105263158,55.2,81.2,16,12.9,21.4,17.8,11.6,2,4.5,10.9,10.1,5
Stoke,1.236842105,13.2,2.157894737,0.0263157895,50.2,77.5,24.4,12,19.3,13.2,12.8,2,3.6,9.4,10.8,9
